iter	Accuracy	Logloss
257	0.8342696629	0.3983252741
258	0.8342696629	0.3983019219
259	0.8342696629	0.3983017836
260	0.8342696629	0.3982920391
261	0.8342696629	0.3981187432
262	0.8342696629	0.3981091878
263	0.8356741573	0.3979266831
264	0.8342696629	0.3977811522
265	0.8342696629	0.397569479
266	0.8342696629	0.3972989421
267	0.8342696629	0.397233352
268	0.8342696629	0.3971240679
269	0.8342696629	0.3970892201
270	0.8342696629	0.397089144
271	0.8342696629	0.3970690704
272	0.8342696629	0.3968999235
273	0.8342696629	0.3967723963
274	0.8342696629	0.3967248156
275	0.8342696629	0.3966907511
276	0.8356741573	0.3966249998
277	0.8356741573	0.3966223386
278	0.8356741573	0.3964773176
279	0.8356741573	0.3959970459
280	0.8384831461	0.3954849303
281	0.8384831461	0.3954502636
282	0.8384831461	0.3954444603
283	0.8398876404	0.3953149383
284	0.8398876404	0.3953016542
285	0.8398876404	0.3950083098
286	0.8398876404	0.3948886472
287	0.8398876404	0.3946844146
288	0.8398876404	0.3946843527
289	0.8398876404	0.3946836508
290	0.8398876404	0.3945441397
291	0.8398876404	0.3944334937
292	0.8398876404	0.3942154632
293	0.8398876404	0.3942154252
294	0.8398876404	0.3941739099
295	0.8398876404	0.3939712688
296	0.8398876404	0.3939668386
297	0.8398876404	0.3939223923
298	0.8398876404	0.3936758293
299	0.8398876404	0.3935496383
300	0.8398876404	0.3935368054
301	0.8412921348	0.393442512
302	0.8412921348	0.3934309599
303	0.8412921348	0.3933572942
304	0.8412921348	0.3932230854
305	0.8412921348	0.3930287807
306	0.8412921348	0.3930273405
307	0.8412921348	0.3929721501
308	0.8412921348	0.3929684272
309	0.8412921348	0.3929068358
310	0.8412921348	0.3929068097
311	0.8412921348	0.3927968019
312	0.8412921348	0.3926712034
313	0.8412921348	0.3925949574
314	0.8412921348	0.3923736261
315	0.8412921348	0.3923318945
316	0.8412921348	0.3921680907
317	0.8412921348	0.3920509013
318	0.8412921348	0.3920182405
319	0.8412921348	0.3919444287
320	0.8412921348	0.3917897736
321	0.8412921348	0.3917897618
322	0.8412921348	0.3917745395
323	0.8412921348	0.3916848238
324	0.8412921348	0.3914939975
325	0.8412921348	0.3910961579
326	0.8412921348	0.3909464418
327	0.8412921348	0.3908782488
328	0.8412921348	0.3908474006
329	0.8412921348	0.3906811237
330	0.8412921348	0.3902244329
331	0.8412921348	0.3901771918
332	0.8412921348	0.3901771887
333	0.8412921348	0.3901205077
334	0.8412921348	0.3900964813
335	0.8412921348	0.3900925527
336	0.8412921348	0.3899870926
337	0.8412921348	0.3899841597
338	0.8412921348	0.3899832132
339	0.8412921348	0.3899034752
340	0.8412921348	0.3898504849
341	0.8398876404	0.3897669921
342	0.8398876404	0.3894424938
343	0.8398876404	0.3893780114
344	0.8398876404	0.3893780097
345	0.8398876404	0.3893317236
346	0.8398876404	0.3891244069
347	0.8398876404	0.3888105248
348	0.8398876404	0.3886245895
349	0.8398876404	0.3886157421
350	0.8398876404	0.3885295608
351	0.8398876404	0.3884196636
352	0.8398876404	0.3882947755
353	0.8398876404	0.3882389341
354	0.8398876404	0.3877173096
355	0.8398876404	0.3874594335
356	0.8398876404	0.3874560122
357	0.8398876404	0.3874533257
358	0.8398876404	0.3874533237
359	0.8398876404	0.3874137206
360	0.8398876404	0.3872880065
361	0.8398876404	0.3871551654
362	0.8398876404	0.386924275
363	0.8398876404	0.3868964089
364	0.8398876404	0.3868580044
365	0.8398876404	0.3865737685
366	0.8398876404	0.3865558963
367	0.8398876404	0.3865084428
368	0.8398876404	0.3865074441
369	0.8412921348	0.386318689
370	0.8412921348	0.3863186875
371	0.8412921348	0.3861705858
372	0.8412921348	0.3859257762
373	0.8412921348	0.3857203006
374	0.8412921348	0.3856418006
375	0.8412921348	0.385543907
376	0.8412921348	0.3855402838
377	0.8412921348	0.385430581
378	0.8412921348	0.3854111187
379	0.8412921348	0.3854097903
380	0.8412921348	0.3853537412
381	0.8412921348	0.3852148287
382	0.8412921348	0.3850965861
383	0.8412921348	0.3850923441
384	0.8412921348	0.3850043103
385	0.8412921348	0.3850043097
386	0.8412921348	0.3850008573
387	0.8412921348	0.3849961506
388	0.8412921348	0.3849379839
389	0.8412921348	0.384932109
390	0.8412921348	0.3846797345
391	0.8412921348	0.3846184747
392	0.8412921348	0.3845532938
393	0.8412921348	0.3842253137
394	0.8412921348	0.3842229734
395	0.8412921348	0.3841550918
396	0.8412921348	0.3841469567
397	0.8412921348	0.3838435676
398	0.8412921348	0.3833650907
